seed,threshold,lead_time,auc_full,auc_E_only,auc_I_only,auc_C_only,auc_EI,auc_EC,auc_IC,mean_stable,mean_pre,mean_instability
0,2.459441903301149,112.0,0.9999669642857143,0.9999514880952382,0.99759875,0.9985206547619048,0.9999667857142857,0.9999516071428571,0.9979307142857143,1.529292192406953,46.95773658464101,151.37369176346957
1,2.5470720741977915,112.0,0.999816011904762,0.9997649404761905,0.9982359523809524,0.9998222619047619,0.9998141666666667,0.9997675595238096,0.9986733333333333,1.550196992200929,43.86737160453866,136.61023323955743
2,2.503070064032431,112.0,0.9999636904761905,0.9999177976190476,0.9992814285714285,0.9999691666666667,0.9999620833333334,0.9999193452380952,0.99936625,1.592089697993223,48.99522143295495,160.07465176905635
3,2.447480589642348,106.76,0.9997666071428571,0.9997170238095239,0.998849880952381,0.9995420833333333,0.9997648214285714,0.9997186904761904,0.9989904761904762,1.619902513569015,50.33267605547172,158.2091404844396
4,2.554601146163905,100.14,0.9999000595238096,0.9998467857142856,0.9980243452380952,0.9997533333333334,0.9998966071428572,0.9998518452380952,0.9984397619047619,1.5896286771855732,42.73088903371279,125.74501866664119
5,2.528146436008682,109.86,0.9992580357142856,0.9990097023809524,0.9985775000000001,0.9999944642857143,0.9992415476190477,0.9990345833333334,0.9987844642857143,1.582375152521591,36.51198380459366,105.03250001175756
6,2.56224447004083,112.0,0.9998944047619047,0.9998795833333334,0.9989229166666667,0.9999673214285714,0.9998935714285714,0.9998802380952382,0.9991082142857143,1.5548025880066325,56.99878516993516,192.72362886145677
7,2.474404049963168,112.0,0.9996064285714286,0.9995808928571429,0.9985377380952383,0.9999968452380952,0.9996047023809524,0.9995835119047619,0.9987287499999999,1.614421038229673,54.233321901044235,213.29389464516674
8,2.402318206464806,112.0,0.9996487500000001,0.9995872023809523,0.9986675,0.9998536904761905,0.9996473214285715,0.9995893452380953,0.9987957142857142,1.610149861721139,45.58149028166426,157.88695642557576
9,2.4094125683217835,112.0,0.9999932738095239,0.9999822023809525,0.9992066666666666,0.9999606547619048,0.9999929166666667,0.9999824404761906,0.9992510714285714,1.6233433938827697,41.20291028767999,135.7523566787505
10,2.556154594614701,112.0,0.9999401785714286,0.9999216666666667,0.9978284523809523,0.9995979761904762,0.9999392857142857,0.9999229166666667,0.9980990476190477,1.5695175555229894,56.05291146044636,202.59388246715702
11,2.6519562807181996,112.0,0.9998853571428572,0.9998729761904761,0.9991269642857142,0.999801130952381,0.9998845238095239,0.9998735119047619,0.9993341666666666,1.555641144466504,44.616124743205376,172.82422207206147
12,2.630540155183962,112.0,0.9999013690476191,0.9998744047619048,0.9984641071428572,0.9993989880952381,0.9999005952380953,0.9998769642857144,0.9985705357142857,1.592828685015682,46.50720278562832,165.63949406467233
13,2.5996815593152744,111.02,0.9998207142857143,0.9998039285714286,0.9979088095238096,0.99992,0.9998197023809524,0.9998046428571429,0.9982011309523808,1.5955429439772966,44.3638854479,157.1988186228273
14,2.444323631353333,112.0,0.9999736904761906,0.9999462499999999,0.9984975595238096,0.9997085119047618,0.9999723214285714,0.9999481547619048,0.9986760714285714,1.568010528603277,54.82299166941779,185.46195362242062
15,2.311528112069613,108.32,0.9999943452380952,0.9999882738095238,0.9997570833333332,0.9999867261904762,0.9999941071428571,0.9999885119047619,0.99985875,1.644183960881265,49.92577136986466,181.99543642572394
16,2.637269744095443,105.82,0.9999826190476191,0.9999475000000001,0.9992619047619047,0.999997380952381,0.9999817261904762,0.9999483928571429,0.9993839285714285,1.5867958026211026,40.03874039370352,137.6390409249514
17,2.411578256111006,95.1,0.9999637499999999,0.99995625,0.9982146428571428,0.9994434523809524,0.9999635119047618,0.9999567261904762,0.9984667857142857,1.6235967323170606,53.84719437765354,184.04143397476682
18,2.6064249911984567,101.16,0.9999219642857142,0.9999202976190477,0.9981594047619049,0.9999490476190477,0.9999216666666667,0.9999205952380953,0.9983976785714285,1.5663496505178471,52.8561351666765,205.78655637624064
