t,regime,DeltaPhi,E,I,C
52.54,stable,0.241179,0.496722,0.053604,202.905907
52.56,stable,0.249919,0.497212,0.05403,205.603539
52.58,stable,0.224902,0.496912,0.054375,200.638083
52.6,stable,0.211225,0.497063,0.054751,197.116611
52.62,stable,0.211087,0.497176,0.054561,198.101581
52.64,stable,0.211487,0.497166,0.054547,198.179643
52.66,stable,0.207747,0.497585,0.054576,199.679934
52.68,stable,0.208364,0.497355,0.054741,198.490565
52.7,stable,0.203354,0.497517,0.054769,197.698035
52.72,stable,0.201829,0.497701,0.054668,198.508491
52.74,stable,0.195507,0.498045,0.054617,198.533462
52.76,stable,0.195707,0.498034,0.054615,198.533945
52.78,stable,0.194359,0.498084,0.054677,198.390516
52.8,stable,0.195218,0.498132,0.054673,199.01591
52.82,stable,0.195735,0.498075,0.054668,198.837536
52.84,stable,0.191259,0.498207,0.054776,198.086778
52.86,stable,0.188643,0.498579,0.05473,199.499241
52.88,stable,0.189134,0.498577,0.054729,199.631093
52.9,stable,0.189669,0.498211,0.054692,197.291065
52.92,stable,0.222912,0.497275,0.05392,201.65687
52.94,stable,0.224691,0.497228,0.053937,201.830052
52.96,stable,0.224303,0.497189,0.053961,201.606392
52.98,stable,0.226161,0.497193,0.053964,201.984749
53.0,stable,0.222935,0.497234,0.053999,201.518932
53.02,stable,0.224467,0.497328,0.053961,202.15913
53.04,stable,0.216428,0.497798,0.054204,202.380604
53.06,stable,0.205332,0.498014,0.054418,201.037155
53.08,stable,0.204165,0.498277,0.054386,201.782043
53.1,stable,0.206639,0.498178,0.054446,201.923031
53.12,stable,0.20002,0.49856,0.054732,202.029547
53.14,stable,0.197118,0.498294,0.054581,200.363385
53.16,stable,0.192807,0.49847,0.054555,200.067929
53.18,stable,0.188878,0.498814,0.054176,200.504795
53.2,stable,0.186948,0.499042,0.053774,200.87629
53.22,stable,0.19027,0.498996,0.053846,201.434702
53.24,stable,0.181454,0.499446,0.053732,201.146918
53.26,stable,0.179971,0.499303,0.053808,200.274817
53.28,stable,0.153661,0.500328,0.054852,197.045132
53.3,stable,0.15336,0.500245,0.054921,194.922334
53.32,stable,0.156914,0.500144,0.055047,192.713192
53.34,stable,0.153696,0.500352,0.055093,192.695368
53.36,stable,0.151896,0.5004,0.055171,193.323662
53.38,stable,0.155358,0.500272,0.0551,192.46494
53.4,stable,0.153641,0.500389,0.05513,192.416369
53.42,stable,0.15809,0.500129,0.055533,192.01827
53.44,stable,0.164617,0.500082,0.055555,190.116842
53.46,stable,0.169262,0.499819,0.055681,189.957552
53.48,stable,0.173429,0.499374,0.056049,190.703279
53.5,stable,0.171627,0.499556,0.055975,190.381022
53.52,stable,0.176001,0.499185,0.056569,190.729174
53.54,stable,0.172019,0.499291,0.056295,191.548999
53.56,stable,0.175155,0.499169,0.056316,191.161479
53.58,stable,0.176664,0.498916,0.056321,192.253044
53.6,stable,0.175868,0.49902,0.056334,191.81978
53.62,stable,0.177339,0.498778,0.055906,193.535035
53.64,stable,0.17231,0.499027,0.055953,194.29578
53.66,stable,0.171222,0.499102,0.056022,193.941868
53.68,stable,0.168096,0.49926,0.056264,194.234148
53.7,stable,0.168212,0.499272,0.056263,193.839245
53.72,stable,0.167443,0.49932,0.056284,193.78383
53.74,stable,0.166477,0.499364,0.056318,193.993739
53.76,stable,0.168184,0.49929,0.056214,193.619639
53.78,stable,0.17074,0.499116,0.055954,194.41317
53.8,stable,0.171353,0.499088,0.055954,194.161746
53.82,stable,0.173234,0.498962,0.055921,194.952131
53.84,stable,0.171969,0.499039,0.055874,195.002286
53.86,stable,0.1731,0.498982,0.055766,195.418038
53.88,stable,0.173636,0.498986,0.055753,196.366912
53.9,stable,0.175085,0.498899,0.05562,196.173449
53.92,stable,0.179965,0.498744,0.055161,197.457989
53.94,stable,0.179103,0.498784,0.055362,197.482769
53.96,stable,0.179805,0.498808,0.05484,197.780442
53.98,stable,0.181304,0.498806,0.054883,198.426757
54.0,stable,0.180169,0.498797,0.054761,197.825456
54.02,stable,0.179385,0.498797,0.054726,197.406205
54.04,stable,0.178563,0.498822,0.05488,197.273257
54.06,stable,0.17685,0.498822,0.054884,195.703977
54.08,stable,0.176307,0.498846,0.054849,195.115697
54.1,stable,0.175791,0.498889,0.054655,195.345613
54.12,stable,0.175423,0.498918,0.054538,195.411257
54.14,stable,0.175359,0.49893,0.054392,195.357096
54.16,stable,0.175055,0.498947,0.054361,195.091166
54.18,stable,0.172743,0.499082,0.054381,195.257515
54.2,stable,0.173753,0.499024,0.054407,194.67423
54.22,stable,0.174002,0.499014,0.054393,195.641038
54.24,stable,0.174162,0.499003,0.054485,194.369352
54.26,stable,0.174239,0.499023,0.054475,193.824496
54.28,stable,0.169632,0.499352,0.054993,192.750205
54.3,stable,0.172633,0.499327,0.055017,191.571697
54.32,stable,0.178597,0.499062,0.055571,190.878413
54.34,stable,0.179327,0.498889,0.055905,191.521754
54.36,stable,0.180299,0.498846,0.056093,191.367247
54.38,stable,0.175378,0.499062,0.056096,191.822442
54.4,stable,0.185972,0.49868,0.055952,190.5337
54.42,stable,0.186087,0.498758,0.055978,190.120701
54.44,stable,0.177142,0.498977,0.05549,191.944901
54.46,stable,0.171089,0.499155,0.055614,193.579951
54.48,stable,0.174203,0.498947,0.055293,195.513279
54.5,stable,0.16747,0.499367,0.054847,195.036264
54.52,stable,0.168034,0.499331,0.054897,194.868034
54.54,stable,0.170557,0.499176,0.055032,195.518087
54.56,stable,0.172717,0.499054,0.055052,195.769857
54.58,stable,0.164806,0.499527,0.05514,195.906508
54.6,stable,0.166014,0.49948,0.055126,196.415759
54.62,stable,0.159841,0.499858,0.054929,196.148131
54.64,stable,0.160668,0.499794,0.054993,195.959468
54.66,stable,0.163268,0.499605,0.055202,195.492023
54.68,stable,0.166237,0.499416,0.055408,195.674757
54.7,stable,0.163921,0.499546,0.055454,194.845067
54.72,stable,0.149307,0.500429,0.0562,194.734785
54.74,stable,0.145834,0.500648,0.056494,195.652747
54.76,stable,0.156511,0.499946,0.056488,194.64228
54.78,stable,0.153722,0.500181,0.056405,193.564191
54.8,stable,0.148965,0.500507,0.056364,193.425738
54.82,stable,0.154035,0.500246,0.056721,192.514156
54.84,stable,0.157517,0.500049,0.056936,192.20384
54.86,stable,0.158986,0.499965,0.056922,192.143718
54.88,stable,0.154504,0.500225,0.056809,192.394954
54.9,stable,0.154036,0.500247,0.056809,192.464034
54.92,stable,0.15573,0.500069,0.056825,193.051948
54.94,stable,0.161355,0.49961,0.057138,195.745975
54.96,stable,0.156354,0.499984,0.05659,196.32367
54.98,stable,0.168729,0.499354,0.056327,197.637195
55.0,stable,0.169255,0.499194,0.056498,196.257628
55.02,stable,0.173581,0.499057,0.056335,197.566354
55.04,stable,0.176561,0.498845,0.056456,197.260372
55.06,stable,0.176868,0.49881,0.056444,197.062365
55.08,stable,0.173095,0.49893,0.056682,195.466813
55.1,stable,0.162734,0.499581,0.057212,196.803445
55.12,stable,0.161572,0.499744,0.057309,197.736609
55.14,stable,0.17696,0.499073,0.056802,199.185375
55.16,stable,0.173092,0.499245,0.056685,198.833252
55.18,stable,0.168691,0.499536,0.056403,198.877526
55.2,stable,0.170755,0.499435,0.056616,199.084336
55.22,stable,0.162028,0.499831,0.056777,198.318509
55.24,pre_instability,0.158409,0.499848,0.056777,196.424785
55.26,pre_instability,0.15493,0.500076,0.056588,196.345122
55.28,pre_instability,0.146668,0.500617,0.056254,195.888613
55.3,pre_instability,0.1452,0.500859,0.056114,197.463142
55.32,pre_instability,0.142975,0.501016,0.056281,197.569794
55.34,pre_instability,0.145327,0.500763,0.056526,196.941695
55.36,pre_instability,0.14042,0.501006,0.056596,195.29641
55.38,pre_instability,0.15259,0.500201,0.056799,194.006991
55.4,pre_instability,0.151862,0.500303,0.056762,193.269194
55.42,pre_instability,0.147866,0.500529,0.056213,194.523435
55.44,pre_instability,0.146058,0.500664,0.056162,194.256065
55.46,pre_instability,0.142098,0.50094,0.05589,194.727742
55.48,pre_instability,0.13994,0.501085,0.055925,195.117727
55.5,pre_instability,0.140461,0.50105,0.055921,194.827279
55.52,pre_instability,0.140381,0.501061,0.055916,194.577376
55.54,pre_instability,0.140459,0.501056,0.055908,194.609191
55.56,pre_instability,0.14263,0.500911,0.055812,195.548584
55.58,pre_instability,0.138762,0.501203,0.055639,194.369372
55.6,pre_instability,0.140681,0.501082,0.056084,193.578021
55.62,pre_instability,0.142429,0.500943,0.055966,193.922245
55.64,pre_instability,0.143619,0.500871,0.056148,193.590584
55.66,pre_instability,0.144271,0.500886,0.056156,192.954935
55.68,pre_instability,0.144454,0.500896,0.056146,192.767363
55.7,pre_instability,0.142111,0.50112,0.056367,192.220262
55.72,pre_instability,0.139496,0.501279,0.056306,192.437124
55.74,pre_instability,0.139546,0.501265,0.056311,192.502698
55.76,pre_instability,0.139495,0.501251,0.056378,192.596602
55.78,pre_instability,0.140366,0.501259,0.056373,192.126698
55.8,pre_instability,0.141488,0.501204,0.056558,191.895217
55.82,pre_instability,0.139788,0.501088,0.056489,193.975808
55.84,pre_instability,0.139268,0.501113,0.056246,194.746492
55.86,pre_instability,0.139282,0.501144,0.056249,193.923482
55.88,pre_instability,0.139465,0.501086,0.056895,193.930813
55.9,pre_instability,0.144641,0.501018,0.056556,191.686112
55.92,pre_instability,0.142821,0.501015,0.056546,192.508244
55.94,pre_instability,0.141239,0.501092,0.056656,192.714264
55.96,pre_instability,0.145463,0.501077,0.057222,190.885134
55.98,pre_instability,0.142114,0.501016,0.056745,192.78233
56.0,pre_instability,0.141651,0.50102,0.056611,193.107432
56.02,pre_instability,0.140905,0.501028,0.056719,193.49383
56.04,pre_instability,0.145807,0.501226,0.06012,189.476034
56.06,pre_instability,0.379318,0.502873,0.087536,167.529606
56.08,pre_instability,1.314744,0.506183,0.138453,137.110532
56.1,pre_instability,0.339049,0.507372,0.151557,166.038502
56.12,pre_instability,7.807363,0.507504,0.160802,52.414289
56.14,pre_instability,9.928611,0.507786,0.173443,34.137901
56.16,pre_instability,10.269747,0.508109,0.189462,31.370491
56.18,pre_instability,9.498517,0.510068,0.245353,37.671228
56.2,pre_instability,9.261344,0.510355,0.261072,39.703461
56.22,pre_instability,9.345058,0.511586,0.303805,39.226356
56.24,pre_instability,8.958414,0.514634,0.385405,43.331646
56.26,pre_instability,9.263631,0.516995,0.4475,41.705022
56.28,pre_instability,9.030695,0.517082,0.46255,43.950628
56.3,pre_instability,9.285404,0.517793,0.496287,42.411252
56.32,pre_instability,9.112318,0.519517,0.555914,45.294662
56.34,pre_instability,9.6453,0.523223,0.653005,43.629142
56.36,pre_instability,9.480449,0.523568,0.680251,45.917594
56.38,pre_instability,9.780529,0.525086,0.73525,45.321335
56.4,pre_instability,9.756097,0.525868,0.778506,47.212379
56.42,pre_instability,10.214988,0.529356,0.86937,47.521214
56.44,pre_instability,10.373293,0.530509,0.912586,48.313482
56.46,pre_instability,10.77201,0.533375,0.990913,49.325555
56.48,pre_instability,11.794465,0.538951,1.106678,48.33156
56.5,pre_instability,12.019108,0.541519,1.167569,50.98117
56.52,pre_instability,13.053652,0.545295,1.248709,48.566882
56.54,pre_instability,12.860944,0.544777,1.261498,50.95063
56.56,pre_instability,14.625622,0.550212,1.370387,45.580488
56.58,pre_instability,14.950962,0.55256,1.422143,47.843564
56.6,pre_instability,14.94284,0.551008,1.414526,46.528728
56.62,pre_instability,15.244627,0.550866,1.447808,46.409428
56.64,pre_instability,15.717672,0.550836,1.477885,44.662318
56.66,pre_instability,17.026305,0.555714,1.584784,44.776632
56.68,pre_instability,18.229412,0.558655,1.653273,42.126514
56.7,pre_instability,18.693225,0.560045,1.700017,43.244459
56.72,pre_instability,19.47942,0.561442,1.740851,41.204026
56.74,pre_instability,20.167921,0.563737,1.795582,42.052996
56.76,pre_instability,20.47766,0.563493,1.811767,40.859357
56.78,pre_instability,21.5788,0.566927,1.879746,40.61872
56.8,pre_instability,22.680114,0.57008,1.932609,39.002742
56.82,pre_instability,22.991941,0.570649,1.955536,39.21133
56.84,pre_instability,22.766076,0.568536,1.947048,38.730664
56.86,pre_instability,23.246376,0.56851,1.973073,37.469553
56.88,pre_instability,24.245154,0.570952,2.022351,36.188971
56.9,pre_instability,25.043531,0.572708,2.062678,35.28748
56.92,pre_instability,25.495289,0.573174,2.084381,34.333366
56.94,pre_instability,25.737963,0.572701,2.098942,33.640413
56.96,pre_instability,25.370687,0.570351,2.083672,33.289962
56.98,pre_instability,26.116228,0.570673,2.115112,30.988847
57.0,pre_instability,25.719727,0.567757,2.10031,30.602139
57.02,pre_instability,25.499074,0.566079,2.08949,30.120726
57.04,pre_instability,26.245014,0.566143,2.118425,27.426736
57.06,pre_instability,26.571397,0.564747,2.13218,25.542834
57.08,pre_instability,26.356436,0.562877,2.122385,25.068122
57.1,pre_instability,26.16638,0.56094,2.113471,24.504647
57.12,pre_instability,26.167422,0.560939,2.113465,24.495427
57.14,pre_instability,26.160263,0.56084,2.113042,24.451973
57.16,pre_instability,26.100205,0.560135,2.111456,24.364323
57.18,pre_instability,26.055469,0.559564,2.110197,24.270579
57.2,pre_instability,26.2275,0.560862,2.11481,24.136505
57.22,pre_instability,26.351157,0.562303,2.118678,24.392502
57.24,pre_instability,26.42075,0.563011,2.119782,24.374849
57.26,pre_instability,26.881294,0.566922,2.129669,24.198088
57.28,pre_instability,26.949835,0.5681,2.13038,24.473281
57.3,pre_instability,26.999746,0.566927,2.133103,23.662554
57.32,pre_instability,27.209104,0.568347,2.133998,23.035282
57.34,pre_instability,27.456367,0.571544,2.136985,23.509358
57.36,pre_instability,27.612639,0.569831,2.151946,22.813488
57.38,pre_instability,28.306648,0.572792,2.156009,19.936326
57.4,pre_instability,28.306644,0.57313,2.155339,20.087678
57.42,pre_instability,28.900302,0.577466,2.162451,19.367609
57.44,pre_instability,29.174021,0.580655,2.164215,19.813037
57.46,pre_instability,29.286295,0.582053,2.162445,19.831511
57.48,pre_instability,29.824538,0.586524,2.16596,19.664149
57.5,pre_instability,30.4399,0.592027,2.167082,19.761162
57.52,pre_instability,30.531696,0.59354,2.163614,20.02154
57.54,pre_instability,30.5449,0.593738,2.162993,20.031305
57.56,pre_instability,30.711465,0.595298,2.160751,19.933617
57.58,pre_instability,30.889959,0.597465,2.155604,20.021612
57.6,pre_instability,31.361149,0.60121,2.156661,20.127665
57.62,pre_instability,31.625,0.603515,2.154003,20.113571
57.64,pre_instability,31.884086,0.606162,2.148722,20.260321
57.66,pre_instability,32.143685,0.608537,2.144291,20.287277
57.68,pre_instability,32.315953,0.610404,2.13847,20.343462
57.7,pre_instability,32.69882,0.613773,2.131997,20.425765
57.72,pre_instability,33.45612,0.618804,2.132423,20.43985
57.74,pre_instability,33.720609,0.621596,2.12088,20.503735
57.76,pre_instability,34.095496,0.624764,2.113192,20.684315
57.78,pre_instability,34.543231,0.627736,2.109726,20.62131
57.8,pre_instability,35.509257,0.633658,2.108178,20.775976
57.82,pre_instability,35.781149,0.635966,2.097767,20.713207
57.84,pre_instability,36.048684,0.638105,2.090444,20.829997
57.86,pre_instability,36.558505,0.64126,2.08506,20.786639
57.88,pre_instability,37.060061,0.644366,2.080367,20.913506
57.9,pre_instability,38.574261,0.651479,2.088416,20.767558
57.92,pre_instability,39.031671,0.654148,2.082964,20.816461
57.94,pre_instability,40.552019,0.660655,2.093097,20.612816
57.96,pre_instability,41.277063,0.664418,2.08729,20.663188
57.98,pre_instability,42.814141,0.670831,2.093832,20.518848
58.0,pre_instability,43.195933,0.673166,2.083149,20.573709
58.02,pre_instability,43.545666,0.673587,2.099132,20.317136
58.04,pre_instability,43.80923,0.674082,2.109969,20.317594
58.06,pre_instability,43.835367,0.674149,2.1076,19.995096
58.08,pre_instability,44.443131,0.676316,2.112568,19.747759
58.1,pre_instability,45.370245,0.679418,2.119334,19.025657
58.12,pre_instability,45.965585,0.681825,2.120738,19.061075
58.14,pre_instability,46.48893,0.683745,2.120553,18.640614
58.16,pre_instability,47.06393,0.685821,2.121762,18.306326
58.18,pre_instability,47.532954,0.686834,2.134495,18.018327
58.2,pre_instability,47.535921,0.686691,2.131436,17.418347
58.22,pre_instability,47.626521,0.686902,2.133529,17.354455
58.24,pre_instability,47.875061,0.687134,2.13565,16.177869
58.26,pre_instability,47.790289,0.68687,2.132261,15.96847
58.28,pre_instability,49.372883,0.69046,2.158616,13.756813
58.3,pre_instability,49.549723,0.690898,2.157713,13.198799
58.32,pre_instability,49.970674,0.6918,2.162396,12.317159
58.34,pre_instability,50.720705,0.693647,2.17651,11.802671
58.36,pre_instability,50.528997,0.693035,2.171763,11.555256
58.38,pre_instability,50.91374,0.694154,2.178919,11.613182
58.4,pre_instability,51.39887,0.695689,2.186261,11.764899
58.42,pre_instability,51.237663,0.694963,2.185966,11.528146
58.44,pre_instability,51.095892,0.694385,2.185735,11.438796
58.46,pre_instability,50.720231,0.693095,2.181269,11.272134
58.48,pre_instability,50.748952,0.693178,2.181535,11.24768
58.5,pre_instability,51.455269,0.695471,2.1895,11.28695
58.52,pre_instability,51.593127,0.695982,2.190308,11.344579
58.54,pre_instability,51.50264,0.695635,2.189978,11.30662
58.56,pre_instability,51.259536,0.694381,2.193804,11.092729
58.58,pre_instability,51.511311,0.693719,2.214278,10.186558
58.6,pre_instability,52.517407,0.694294,2.258158,8.700056
58.62,pre_instability,53.298742,0.695139,2.295781,8.7241
58.64,pre_instability,52.858546,0.693352,2.300617,9.057623
58.66,pre_instability,52.708341,0.6928,2.299894,9.032705
58.68,pre_instability,52.318118,0.69095,2.305324,9.008392
58.7,pre_instability,52.099481,0.690052,2.30606,9.012919
58.72,pre_instability,51.761046,0.688589,2.307856,8.976029
58.74,pre_instability,51.911104,0.689141,2.308465,8.968494
58.76,pre_instability,52.12951,0.689966,2.309152,8.978822
58.78,pre_instability,52.642403,0.691889,2.310489,8.976035
58.8,pre_instability,52.620535,0.691803,2.310543,8.98004
58.82,pre_instability,52.647337,0.691903,2.310583,8.976214
58.84,pre_instability,52.332903,0.690389,2.31467,8.897993
58.86,pre_instability,52.344065,0.690448,2.314666,8.92497
58.88,pre_instability,52.401295,0.690665,2.314641,8.910656
58.9,pre_instability,52.100579,0.688907,2.322199,8.694802
58.92,pre_instability,51.915497,0.688091,2.323943,8.735001
58.94,pre_instability,51.626033,0.685906,2.33747,8.388784
58.96,pre_instability,52.011547,0.687229,2.338402,8.103858
58.98,pre_instability,51.825133,0.686354,2.339725,8.021056
59.0,pre_instability,52.190636,0.68783,2.339192,7.991707
59.02,pre_instability,52.28089,0.688232,2.338689,8.013617
59.04,pre_instability,52.929757,0.690801,2.338181,7.983121
59.06,pre_instability,52.715483,0.689819,2.340054,7.932918
59.08,pre_instability,52.508614,0.688813,2.342656,7.877015
59.1,pre_instability,52.477571,0.688683,2.342775,7.876086
59.12,pre_instability,52.237894,0.687589,2.344998,7.865615
59.14,pre_instability,51.943309,0.685576,2.357083,7.722426
59.16,pre_instability,52.340981,0.687126,2.356586,7.59122
59.18,pre_instability,53.27484,0.690914,2.355778,7.680409
59.2,pre_instability,53.951389,0.693657,2.35341,7.637063
59.22,pre_instability,53.938471,0.693604,2.353517,7.643484
59.24,pre_instability,53.534212,0.691494,2.362545,7.644338
59.26,pre_instability,53.176595,0.68954,2.370308,7.505126
59.28,pre_instability,54.465643,0.69016,2.438241,7.153223
59.3,pre_instability,54.274072,0.688136,2.457665,7.110392
59.32,pre_instability,54.366042,0.68676,2.486284,7.331407
59.34,pre_instability,54.339952,0.684898,2.511041,7.148965
59.36,pre_instability,54.075535,0.683546,2.515967,7.243443
59.38,pre_instability,54.089589,0.68359,2.51595,7.219654
59.4,pre_instability,54.396123,0.684777,2.516404,7.173955
59.42,pre_instability,54.304343,0.683332,2.528861,6.790234
59.44,pre_instability,54.154298,0.682157,2.532142,6.224806
59.46,pre_instability,53.944083,0.681369,2.531887,6.324939
59.48,pre_instability,53.717857,0.680019,2.536912,6.222271
59.5,pre_instability,53.709801,0.679999,2.536905,6.243502
59.52,pre_instability,54.960389,0.684843,2.540095,6.134236
59.54,pre_instability,55.015521,0.6838,2.555874,5.824149
59.56,pre_instability,54.874141,0.682691,2.561198,5.550417
59.58,pre_instability,55.415905,0.683181,2.585625,5.526791
59.6,pre_instability,55.169052,0.682128,2.585277,5.414236
59.62,pre_instability,55.721215,0.683959,2.590519,5.319817
59.64,pre_instability,55.618099,0.683488,2.591005,5.290433
59.66,pre_instability,55.732924,0.683108,2.601592,5.119715
59.68,pre_instability,55.960404,0.683151,2.613802,5.086252
59.7,pre_instability,56.314053,0.683578,2.627593,5.031301
59.72,pre_instability,56.90533,0.685332,2.634506,4.774224
59.74,pre_instability,58.034012,0.689098,2.64568,4.856754
59.76,pre_instability,58.89402,0.69205,2.651805,4.871433
59.78,pre_instability,60.045856,0.695861,2.661184,4.912722
59.8,pre_instability,60.097779,0.696053,2.661177,4.903632
59.82,pre_instability,60.416389,0.697279,2.660954,4.910377
59.84,pre_instability,61.43795,0.700564,2.668671,4.867721
59.86,pre_instability,62.014553,0.702656,2.669352,4.886466
59.88,pre_instability,62.42861,0.704193,2.668816,4.866915
59.9,pre_instability,63.102012,0.706529,2.670529,4.886336
59.92,pre_instability,63.731919,0.708661,2.672212,4.859816
59.94,pre_instability,65.134255,0.71298,2.682173,4.883583
59.96,pre_instability,66.538309,0.717276,2.690581,4.842775
59.98,pre_instability,66.776436,0.718269,2.687701,4.856863
60.0,pre_instability,68.249351,0.722699,2.695789,4.804787
60.02,pre_instability,69.878685,0.727525,2.7047,4.812911
60.04,pre_instability,70.70254,0.730395,2.700829,4.786731
60.06,pre_instability,71.916945,0.734199,2.701912,4.803033
60.08,pre_instability,72.796579,0.737153,2.698113,4.77636
60.1,pre_instability,73.194799,0.738809,2.690658,4.790222
60.12,pre_instability,73.498732,0.740158,2.682335,4.689118
60.14,pre_instability,74.538024,0.743474,2.679764,4.711215
60.16,pre_instability,74.731453,0.744416,2.672998,4.697541
60.18,pre_instability,74.633397,0.744501,2.666002,4.707976
60.2,pre_instability,76.137812,0.748701,2.671118,4.669654
60.22,pre_instability,77.474017,0.752399,2.675391,4.669906
60.24,pre_instability,78.78585,0.75625,2.674102,4.656179
60.26,pre_instability,79.658821,0.758971,2.669594,4.664496
60.28,pre_instability,81.603545,0.763944,2.679151,4.647166
60.3,pre_instability,82.186704,0.765707,2.676246,4.657469
60.32,pre_instability,82.766871,0.767285,2.676532,4.645575
60.34,pre_instability,84.999935,0.772542,2.693171,4.653826
60.36,pre_instability,84.834641,0.77261,2.68245,4.641689
60.38,pre_instability,84.86532,0.772669,2.682898,4.636397
60.4,pre_instability,84.727493,0.772358,2.681266,4.589244
60.42,pre_instability,85.968618,0.775068,2.693779,4.561807
60.44,pre_instability,87.099549,0.777698,2.701562,4.578121
60.46,pre_instability,87.170832,0.777867,2.701888,4.569679
60.48,pre_instability,87.194022,0.777409,2.711902,4.460433
60.5,pre_instability,86.963885,0.776855,2.710669,4.447306
60.52,pre_instability,86.970773,0.776871,2.710706,4.446943
60.54,pre_instability,86.431284,0.775453,2.710359,4.434892
60.56,pre_instability,86.409392,0.774743,2.722888,4.317147
60.58,pre_instability,86.022416,0.773766,2.721569,4.296967
60.6,pre_instability,85.653104,0.772257,2.731066,4.159465
60.62,pre_instability,85.634425,0.77155,2.743902,4.100165
60.64,pre_instability,87.05412,0.774988,2.751484,4.114553
60.66,pre_instability,86.541824,0.773484,2.753942,4.078327
60.68,pre_instability,86.078949,0.771901,2.760414,4.029931
60.7,pre_instability,85.467399,0.769922,2.766628,3.995024
60.72,pre_instability,84.99752,0.768013,2.778479,3.920993
60.74,pre_instability,85.641089,0.76966,2.780552,3.914141
60.76,pre_instability,85.974765,0.77057,2.780567,3.928244
60.78,pre_instability,86.673955,0.772482,2.780079,3.930486
60.8,pre_instability,86.460161,0.771822,2.781735,3.926267
60.82,pre_instability,85.955936,0.770164,2.787221,3.881285
60.84,pre_instability,85.31364,0.768089,2.793456,3.859603
60.86,pre_instability,84.956397,0.767047,2.794678,3.858451
60.88,pre_instability,84.706553,0.766339,2.795033,3.851544
60.9,pre_instability,85.233494,0.767805,2.794658,3.851977
60.92,pre_instability,85.260599,0.767887,2.794546,3.857134
60.94,pre_instability,84.71666,0.765575,2.80919,3.706003
60.96,pre_instability,85.759664,0.766104,2.852638,3.524161
60.98,pre_instability,85.791141,0.764759,2.880092,3.591196
61.0,pre_instability,85.295031,0.762529,2.89551,3.549104
61.02,pre_instability,84.772716,0.7603,2.909445,3.549928
61.04,pre_instability,83.969971,0.757456,2.919379,3.511885
61.06,pre_instability,84.758984,0.757263,2.962375,3.46695
61.08,pre_instability,84.649516,0.756027,2.978065,3.405585
61.1,pre_instability,85.821596,0.75725,3.012983,3.129417
61.12,pre_instability,86.138262,0.756609,3.039602,3.141099
61.14,pre_instability,86.708124,0.756777,3.063949,3.071489
61.16,pre_instability,85.978567,0.754382,3.069031,3.080889
61.18,pre_instability,86.51537,0.754434,3.09344,3.003419
61.2,pre_instability,87.209225,0.755377,3.11085,2.987745
61.22,pre_instability,87.562563,0.755948,3.117916,2.946778
61.24,pre_instability,88.392285,0.757472,3.132137,2.967374
61.26,pre_instability,88.726201,0.758095,3.137529,2.958308
61.28,pre_instability,87.706773,0.755666,3.129482,2.95612
61.3,pre_instability,87.518525,0.755054,3.130654,2.958419
61.32,pre_instability,86.793055,0.753346,3.124256,2.954869
61.34,pre_instability,86.08948,0.75158,3.119681,2.959917
61.36,pre_instability,85.933007,0.751203,3.118346,2.955257
61.38,pre_instability,86.157664,0.751792,3.119428,2.953171
61.4,pre_instability,85.813278,0.750846,3.118385,2.947773
61.42,pre_instability,85.750905,0.750668,3.118315,2.948478
61.44,pre_instability,85.290969,0.749402,3.116704,2.919062
61.46,pre_instability,84.941905,0.748431,3.115847,2.933661
61.48,pre_instability,85.39074,0.749648,3.117574,2.931209
61.5,pre_instability,85.27746,0.749308,3.117661,2.930492
61.52,pre_instability,85.524692,0.750051,3.117419,2.929951
61.54,pre_instability,86.148994,0.751854,3.11779,2.922352
61.56,pre_instability,86.115095,0.751745,3.117952,2.923128
61.58,pre_instability,85.947166,0.751038,3.121431,2.918327
61.6,pre_instability,85.77018,0.750038,3.128089,2.760585
61.62,pre_instability,86.556845,0.752219,3.129662,2.70192
61.64,pre_instability,86.466214,0.751898,3.130465,2.686675
61.66,pre_instability,86.485924,0.751318,3.140392,2.631203
61.68,pre_instability,87.759691,0.754634,3.145667,2.492238
61.7,pre_instability,88.234349,0.755971,3.146193,2.501031
61.72,pre_instability,89.253069,0.758797,3.147611,2.511679
61.74,pre_instability,89.318241,0.758379,3.157406,2.486372
61.76,pre_instability,89.443095,0.758182,3.166444,2.478918
61.78,pre_instability,90.558862,0.760147,3.185524,2.393294
61.8,pre_instability,91.402798,0.761697,3.19921,2.41062
61.82,pre_instability,91.68731,0.762141,3.205103,2.422465
61.84,pre_instability,92.5309,0.764257,3.208865,2.401037
61.86,pre_instability,92.89495,0.765376,3.206946,2.389797
61.88,pre_instability,93.972786,0.768532,3.203593,2.380521
61.9,pre_instability,94.601247,0.770513,3.199172,2.408108
61.92,pre_instability,95.733643,0.77349,3.200553,2.42865
61.94,pre_instability,96.794088,0.776284,3.201152,2.436706
61.96,pre_instability,96.803974,0.776353,3.200416,2.436937
61.98,pre_instability,96.991741,0.776593,3.204871,2.434772
62.0,pre_instability,97.065857,0.776833,3.20404,2.42417
62.02,pre_instability,98.207848,0.779867,3.203114,2.366837
62.04,pre_instability,100.358878,0.78512,3.208808,2.374184
62.06,pre_instability,101.593021,0.788369,3.206621,2.325103
62.08,pre_instability,103.147198,0.792065,3.21057,2.323628
62.1,pre_instability,104.707491,0.795973,3.210055,2.334532
