t,regime,DeltaPhi,E,I,C
6.16,stable,0.376965,0.501136,0.058018,220.088987
6.18,stable,0.411631,0.501221,0.057971,221.892042
6.2,stable,0.422523,0.50105,0.057619,222.285531
6.22,stable,0.38485,0.501219,0.057884,220.549701
6.24,stable,0.391791,0.501264,0.057885,220.934889
6.26,stable,0.408094,0.501198,0.057851,221.698133
6.28,stable,0.412416,0.50105,0.057538,221.792307
6.3,stable,0.410405,0.500978,0.057604,221.64624
6.32,stable,0.411323,0.500877,0.057572,221.61894
6.34,stable,0.414895,0.500827,0.057625,221.761084
6.36,stable,0.411295,0.500921,0.057683,221.653664
6.38,stable,0.413777,0.501004,0.057465,221.823102
6.4,stable,0.415386,0.500758,0.057814,221.744515
6.42,stable,0.38494,0.500749,0.0578,220.203495
6.44,stable,0.38625,0.500917,0.057897,220.402527
6.46,stable,0.367981,0.50075,0.058148,219.326151
6.48,stable,0.34722,0.500995,0.057952,218.37061
6.5,stable,0.332289,0.500906,0.058113,217.453178
6.52,stable,0.318366,0.501048,0.058118,216.748877
6.54,stable,0.310835,0.501049,0.058115,216.291628
6.56,stable,0.341627,0.500793,0.057893,217.885117
6.58,stable,0.3325,0.500618,0.057874,217.204457
6.6,stable,0.322238,0.500136,0.058058,216.153548
6.62,stable,0.338908,0.50013,0.058055,217.155948
6.64,stable,0.333775,0.500033,0.057932,216.752977
6.66,stable,0.34642,0.500261,0.057897,217.703503
6.68,stable,0.336096,0.500117,0.05793,216.969688
6.7,stable,0.336718,0.500139,0.057963,217.0296
6.72,stable,0.323451,0.499767,0.057924,215.858568
6.74,stable,0.308647,0.499961,0.057947,215.110804
6.76,stable,0.314519,0.499894,0.05803,215.426814
6.78,stable,0.180272,0.500925,0.058366,205.345266
6.8,stable,0.277234,0.501747,0.057225,214.700021
6.82,stable,0.256182,0.502263,0.057514,213.737043
6.84,stable,0.254231,0.502222,0.057475,213.561215
6.86,stable,0.288103,0.501618,0.056852,215.275338
6.88,stable,0.288668,0.501726,0.056842,215.404485
6.9,stable,0.293555,0.501585,0.056776,215.592127
6.92,stable,0.292779,0.501521,0.056753,215.485912
6.94,stable,0.298224,0.501317,0.056739,215.653538
6.96,stable,0.275042,0.501539,0.056833,214.340397
6.98,stable,0.287822,0.501625,0.056751,215.256738
7.0,stable,0.281378,0.501501,0.056795,214.728142
7.02,stable,0.281322,0.501366,0.056808,214.602183
7.04,stable,0.27484,0.500963,0.056714,213.766779
7.06,stable,0.303434,0.500454,0.056481,215.17172
7.08,stable,0.282555,0.499851,0.056984,213.138976
7.1,stable,0.283427,0.499859,0.056986,213.21151
7.12,stable,0.299949,0.500353,0.056574,214.849174
7.14,stable,0.290648,0.500573,0.056627,214.453948
7.16,stable,0.305896,0.501066,0.056516,215.901238
7.18,stable,0.315629,0.501254,0.056673,216.672725
7.2,stable,0.311645,0.501179,0.056602,216.362235
7.22,stable,0.314532,0.500961,0.056524,216.344418
7.24,stable,0.344306,0.500709,0.056492,217.888672
7.26,stable,0.386671,0.501163,0.055808,220.497642
7.28,stable,0.381614,0.50115,0.055796,220.22632
7.3,stable,0.382655,0.501137,0.055811,220.271384
7.32,stable,0.423591,0.500769,0.055837,222.056468
7.34,stable,0.416902,0.501003,0.055724,221.890342
7.36,stable,0.418568,0.501228,0.055702,222.124067
7.38,stable,0.417116,0.501081,0.055766,221.956718
7.4,stable,0.406695,0.501034,0.055775,221.413337
7.42,stable,0.390244,0.501205,0.05598,220.71878
7.44,stable,0.39922,0.501305,0.055943,221.239475
7.46,stable,0.388494,0.501166,0.055949,220.600231
7.48,stable,0.392048,0.501101,0.055863,220.730048
7.5,stable,0.395693,0.500823,0.05564,220.70167
7.52,stable,0.371337,0.501124,0.055884,219.672568
7.54,stable,0.381096,0.501161,0.05579,220.207269
7.56,stable,0.35727,0.500991,0.055978,218.815978
7.58,stable,0.355916,0.501013,0.055984,218.758806
7.6,stable,0.355223,0.501001,0.055993,218.712005
7.62,stable,0.326002,0.501573,0.056373,217.528101
7.64,stable,0.319146,0.501774,0.056459,217.289393
7.66,stable,0.320136,0.501758,0.056453,217.334544
7.68,stable,0.326583,0.502035,0.056302,217.907472
7.7,stable,0.311816,0.502002,0.056347,217.025281
7.72,stable,0.324146,0.50196,0.056563,217.727441
7.74,stable,0.278236,0.502113,0.056665,215.042668
7.76,stable,0.276399,0.50207,0.056588,214.880867
7.78,stable,0.30447,0.501911,0.056373,216.513972
7.8,stable,0.298938,0.501913,0.056356,216.175555
7.82,stable,0.281472,0.502132,0.056193,215.237911
7.84,stable,0.269437,0.502102,0.056214,214.419346
7.86,stable,0.274461,0.501985,0.056573,214.679386
7.88,stable,0.244639,0.502158,0.056605,212.748955
7.9,stable,0.241743,0.502169,0.056647,212.54715
7.92,stable,0.246765,0.502147,0.056577,212.892445
7.94,stable,0.25091,0.502182,0.056525,213.222057
7.96,stable,0.24643,0.502157,0.056626,212.881056
7.98,stable,0.245043,0.502154,0.05664,212.776839
8.0,stable,0.230266,0.502186,0.057023,211.713786
8.02,stable,0.217837,0.502187,0.057039,210.71107
8.04,stable,0.219451,0.502161,0.05672,210.791876
8.06,stable,0.209453,0.502189,0.056926,209.988481
8.08,stable,0.227909,0.502159,0.056938,211.494905
8.1,stable,0.24055,0.50218,0.056486,212.456122
8.12,stable,0.236446,0.502205,0.056529,212.172426
8.14,stable,0.237329,0.502279,0.056587,212.314788
8.16,stable,0.237236,0.502362,0.056479,212.377318
8.18,stable,0.216678,0.502325,0.056731,210.733029
8.2,stable,0.212383,0.502387,0.056758,210.438416
8.22,stable,0.222328,0.502238,0.056721,211.107909
8.24,stable,0.219941,0.502359,0.056525,211.020671
8.26,stable,0.209653,0.502238,0.056771,210.045753
8.28,stable,0.199624,0.50233,0.056738,209.247614
8.3,stable,0.196277,0.502283,0.056812,208.887365
