condition,AUC_full,AUC_E,AUC_I,AUC_C,n_transitions,mean_stable,std_stable,mean_pre,mean_instability,mean_recovery
Observed (synthetic),0.940782485596708,0.8497765925925926,0.860998781893004,0.8411759670781894,3,1.670072421045751,0.4591925242529974,3.1534558460025184,11.893209730686978,7.094583704164583
Shuffled-time null,0.4945235226337448,,,,3,5.924243096892618,4.5894256717606785,6.061743503589139,5.900042391298236,5.925292710119837
Phase-randomised null,0.6365989794238682,,,,3,6.984242679527575,2.4657357696814524,6.10145148243576,7.981120662009282,7.599350990498012
Stable control,0.4937343868312757,,,,3,0.0789144277085874,0.034277782694660565,0.07988067204882739,0.07875445927797932,0.0795044349821799
